Name,Value
Weight_SteerAngle_To_Target,8.9327
Weight_Throttle_To_Target,-3.76
Weight_SonarBeam_SteerAngle_0,-8.7648
Weight_SonarBeam_Throttle_0,7.5077
Weight_SonarBeam_SteerAngle_1,-1.4777
Weight_SonarBeam_Throttle_1,-3.6453
Weight_SonarBeam_SteerAngle_2,5.9685
Weight_SonarBeam_Throttle_2,4.5166
Weight_SonarBeam_SteerAngle_3,-6.4085
Weight_SonarBeam_Throttle_3,-6.9662
Weight_SonarBeam_SteerAngle_4,-2.1713
Weight_SonarBeam_Throttle_4,-1.755
Weight_SonarBeam_SteerAngle_5,2.6757
Weight_SonarBeam_Throttle_5,1.6655
Weight_SonarBeam_SteerAngle_6,-8.9141
Weight_SonarBeam_Throttle_6,6.3798
Weight_SonarBeam_SteerAngle_7,3.3318
Weight_SonarBeam_Throttle_7,-4.4594
Weight_SonarBeam_SteerAngle_8,-7.7164
Weight_SonarBeam_Throttle_8,6.1845
Weight_SonarBeam_SteerAngle_9,-7.2668
Weight_SonarBeam_Throttle_9,8.9214
Weight_SonarBeam_SteerAngle_10,-1.8538
Weight_SonarBeam_Throttle_10,-0.80084
Weight_SonarBeam_SteerAngle_11,-4.3645
Weight_SonarBeam_Throttle_11,9.0606
Weight_SonarBeam_SteerAngle_12,2.5404
Weight_SonarBeam_Throttle_12,-4.8659
Weight_SonarBeam_SteerAngle_13,-2.7946
Weight_SonarBeam_Throttle_13,5.3358
Weight_SonarBeam_SteerAngle_14,4.1154
Weight_SonarBeam_Throttle_14,-5.676
Weight_SonarBeam_SteerAngle_15,8.2917
Weight_SonarBeam_Throttle_15,1.6635
Weight_SonarBeam_SteerAngle_16,-7.8002
Weight_SonarBeam_Throttle_16,7.2493
Weight_SonarBeam_SteerAngle_17,-3.2139
Weight_SonarBeam_Throttle_17,0.078579
Weight_SonarBeam_SteerAngle_18,-0.089121
Weight_SonarBeam_Throttle_18,0.98602
Weight_SonarBeam_SteerAngle_19,-3.8039
Weight_SonarBeam_Throttle_19,7.0872
Weight_SonarBeam_SteerAngle_20,-2.1152
Weight_SonarBeam_Throttle_20,-1.2982
Weight_SonarBeam_SteerAngle_21,6.1405
Weight_SonarBeam_Throttle_21,-1.2042
Weight_SonarBeam_SteerAngle_22,-3.0256
Weight_SonarBeam_Throttle_22,4.7811
Weight_SonarBeam_SteerAngle_23,1.0846
Weight_SonarBeam_Throttle_23,1.281
Weight_SonarBeam_SteerAngle_24,4.435
Weight_SonarBeam_Throttle_24,2.7805
Weight_SonarBeam_SteerAngle_25,2.3368
Weight_SonarBeam_Throttle_25,-5.06
Weight_SonarBeam_SteerAngle_26,4.9265
Weight_SonarBeam_Throttle_26,5.8297
Weight_SonarBeam_SteerAngle_27,1.7383
Weight_SonarBeam_Throttle_27,-0.57359
Weight_SonarBeam_SteerAngle_28,2.5436
Weight_SonarBeam_Throttle_28,4.9261
Weight_SonarBeam_SteerAngle_29,-9.9208
Weight_SonarBeam_Throttle_29,-7.4526
Weight_SonarBeam_SteerAngle_30,6.196
Weight_SonarBeam_Throttle_30,0.58644
Weight_SonarBeam_SteerAngle_31,-4.5988
Weight_SonarBeam_Throttle_31,-2.0318
Weight_SonarBeam_SteerAngle_32,4.7228
Weight_SonarBeam_Throttle_32,6.0917
Weight_SonarBeam_SteerAngle_33,-1.3534
Weight_SonarBeam_Throttle_33,-0.78097
Weight_SonarBeam_SteerAngle_34,8.4522
Weight_SonarBeam_Throttle_34,8.246
Weight_SonarBeam_SteerAngle_35,-0.51523
Weight_SonarBeam_Throttle_35,-3.3171
Weight_SonarBeam_SteerAngle_36,-4.0737
Weight_SonarBeam_Throttle_36,4.7177
Weight_SonarBeam_SteerAngle_37,-5.4535
Weight_SonarBeam_Throttle_37,-8.9695
Weight_SonarBeam_SteerAngle_38,5.15
Weight_SonarBeam_Throttle_38,3.0232
Weight_SonarBeam_SteerAngle_39,9.7845
Weight_SonarBeam_Throttle_39,-0.50058
Weight_SonarBeam_SteerAngle_40,-7.684
Weight_SonarBeam_Throttle_40,3.9571
Weight_SonarBeam_SteerAngle_41,-5.9402
Weight_SonarBeam_Throttle_41,-8.2494
Weight_SonarBeam_SteerAngle_42,-2.8467
Weight_SonarBeam_Throttle_42,7.8984
Weight_SonarBeam_SteerAngle_43,-2.3076
Weight_SonarBeam_Throttle_43,-3.8868
Weight_SonarBeam_SteerAngle_44,9.6134
Weight_SonarBeam_Throttle_44,7.3832
Weight_SonarBeam_SteerAngle_45,0.5827
Weight_SonarBeam_Throttle_45,4.2064
Weight_SonarBeam_SteerAngle_46,-0.47219
Weight_SonarBeam_Throttle_46,6.135
Weight_SonarBeam_SteerAngle_47,3.4928
Weight_SonarBeam_Throttle_47,-2.0745
Weight_SonarBeam_SteerAngle_48,4.4662
Weight_SonarBeam_Throttle_48,0.38575
Weight_SonarBeam_SteerAngle_49,3.4911
Weight_SonarBeam_Throttle_49,0.69798
Weight_SonarBeam_SteerAngle_50,-5.2612
Weight_SonarBeam_Throttle_50,-5.0399
Weight_SonarBeam_SteerAngle_51,4.8576
Weight_SonarBeam_Throttle_51,8.8153
Weight_SonarBeam_SteerAngle_52,-1.2319
Weight_SonarBeam_Throttle_52,1.7146
Weight_SonarBeam_SteerAngle_53,5.1643
Weight_SonarBeam_Throttle_53,-7.3576
Weight_SonarBeam_SteerAngle_54,-5.2452
Weight_SonarBeam_Throttle_54,9.8195
Weight_SonarBeam_SteerAngle_55,-6.9877
Weight_SonarBeam_Throttle_55,-7.4373
Weight_SonarBeam_SteerAngle_56,-0.55688
Weight_SonarBeam_Throttle_56,-8.4204
Weight_SonarBeam_SteerAngle_57,-5.18
Weight_SonarBeam_Throttle_57,-7.2881
Weight_SonarBeam_SteerAngle_58,-2.9073
Weight_SonarBeam_Throttle_58,-2.4685
Weight_SonarBeam_SteerAngle_59,-4.5835
Weight_SonarBeam_Throttle_59,-1.9462
Weight_SonarBeam_SteerAngle_60,4.5869
Weight_SonarBeam_Throttle_60,-6.4806
Weight_SonarBeam_SteerAngle_61,8.9471
Weight_SonarBeam_Throttle_61,2.3692
Weight_SonarBeam_SteerAngle_62,-7.9789
Weight_SonarBeam_Throttle_62,5.9404
