Blur,XOrder,YOrder,Sobel Kernel,Score,FPS
1,1,1,1,61.8927,2.09881
1,1,1,3,61.8927,2.10233
1,1,1,5,60.8471,2.11413
1,1,1,7,57.8433,1.85947
1,1,2,1,61.0042,1.93692
1,1,2,3,61.0042,1.93129
1,1,2,5,58.6803,2.13853
1,1,2,7,60.2765,1.94895
1,1,3,1,34.5133,0
1,1,3,3,34.5133,0
1,1,3,5,57.8603,2.12366
1,1,3,7,59.7375,2.02982
1,1,4,1,34.5133,0
1,1,4,3,34.5133,0
1,1,4,5,62.3718,1.94325
1,1,4,7,56.65,2.04118
1,2,1,1,59.4142,1.96044
1,2,1,3,59.4142,1.96385
1,2,1,5,62.6622,2.26862
1,2,1,7,61.164,1.9707
1,2,2,1,58.9371,1.86993
1,2,2,3,58.9371,1.86931
1,2,2,5,62.7481,2.10467
1,2,2,7,61.0656,2.0497
1,2,3,1,34.5133,0
1,2,3,3,34.5133,0
1,2,3,5,57.6063,1.91072
1,2,3,7,58.5252,2.30049
1,2,4,1,34.5133,0
1,2,4,3,34.5133,0
1,2,4,5,60.9253,1.85307
1,2,4,7,57.5886,2.05641
1,3,1,1,34.5133,0
1,3,1,3,34.5133,0
1,3,1,5,63.0391,2.20359
1,3,1,7,56.1421,2.00106
1,3,2,1,34.5133,0
1,3,2,3,34.5133,0
1,3,2,5,60.4898,1.90012
1,3,2,7,56.9063,2.12846
1,3,3,1,34.5133,0
1,3,3,3,34.5133,0
1,3,3,5,60.7467,1.88932
1,3,3,7,57.3853,2.37945
1,3,4,1,34.5133,0
1,3,4,3,34.5133,0
1,3,4,5,57.3082,1.8455
1,3,4,7,59.4588,1.89407
1,4,1,1,34.5133,0
1,4,1,3,34.5133,0
1,4,1,5,62.3878,1.91623
1,4,1,7,57.486,2.00142
1,4,2,1,34.5133,0
1,4,2,3,34.5133,0
1,4,2,5,60.5043,1.83263
1,4,2,7,57.7827,1.91525
1,4,3,1,34.5133,0
1,4,3,3,34.5133,0
1,4,3,5,49.3952,1.8458
1,4,3,7,57.7778,1.8982
1,4,4,1,34.5133,0
1,4,4,3,34.5133,0
1,4,4,5,52.3709,1.86407
1,4,4,7,57.6036,1.89216
2,1,1,1,60.6227,1.97933
2,1,1,3,60.6227,1.98559
2,1,1,5,62.6003,1.99753
2,1,1,7,56.3396,1.8446
2,1,2,1,59.8259,1.84069
2,1,2,3,59.8259,1.82111
2,1,2,5,61.4922,2.04414
2,1,2,7,58.9759,1.92636
2,1,3,1,34.5133,0
2,1,3,3,34.5133,0
2,1,3,5,61.0717,1.88396
2,1,3,7,61.6532,1.97656
2,1,4,1,34.5133,0
2,1,4,3,34.5133,0
2,1,4,5,56.0495,1.8176
2,1,4,7,61.3374,1.94158
2,2,1,1,58.2471,1.81906
2,2,1,3,58.2471,1.81847
2,2,1,5,63.1095,2.10821
2,2,1,7,62.8807,1.93493
2,2,2,1,57.6547,1.85034
2,2,2,3,57.6547,1.85489
2,2,2,5,60.4497,1.89502
2,2,2,7,60.6523,2.2796
2,2,3,1,34.5133,0
2,2,3,3,34.5133,0
2,2,3,5,60.962,1.86777
2,2,3,7,61.0755,2.17894
2,2,4,1,34.5133,0
2,2,4,3,34.5133,0
2,2,4,5,56.0861,1.7843
2,2,4,7,61.4041,1.87272
2,3,1,1,34.5133,0
2,3,1,3,34.5133,0
2,3,1,5,59.1948,1.903
2,3,1,7,59.4904,1.96933
2,3,2,1,34.5133,0
2,3,2,3,34.5133,0
2,3,2,5,62.1036,1.88365
2,3,2,7,62.091,2.01966
2,3,3,1,34.5133,0
2,3,3,3,34.5133,0
2,3,3,5,57.7837,1.87427
2,3,3,7,61.4163,1.889
2,3,4,1,34.5133,0
2,3,4,3,34.5133,0
2,3,4,5,56.7663,1.80482
2,3,4,7,59.594,1.88648
2,4,1,1,34.5133,0
2,4,1,3,34.5133,0
2,4,1,5,61.0144,1.81439
2,4,1,7,59.7911,1.92177
2,4,2,1,34.5133,0
2,4,2,3,34.5133,0
2,4,2,5,57.4255,1.78826
2,4,2,7,60.6204,1.8749
2,4,3,1,34.5133,0
2,4,3,3,34.5133,0
2,4,3,5,56.3916,1.80598
2,4,3,7,60.8781,1.87179
2,4,4,1,34.5133,0
2,4,4,3,34.5133,0
2,4,4,5,52.2616,1.8217
2,4,4,7,58.1246,1.88428
3,1,1,1,60.6832,1.85276
3,1,1,3,60.6832,1.85246
3,1,1,5,59.4783,2.34488
3,1,1,7,59.4162,1.86499
3,1,2,1,62.6932,1.79365
3,1,2,3,62.6932,1.79337
3,1,2,5,61.7749,1.95299
3,1,2,7,55.6896,1.94492
3,1,3,1,34.5133,0
3,1,3,3,34.5133,0
3,1,3,5,57.4306,1.85367
3,1,3,7,62.1311,2.40272
3,1,4,1,34.5133,0
3,1,4,3,34.5133,0
3,1,4,5,60.1354,1.79251
3,1,4,7,61.9238,1.88742
3,2,1,1,60.5414,1.81643
3,2,1,3,60.5414,1.81701
3,2,1,5,21.0531,2.09453
3,2,1,7,54.247,1.94191
3,2,2,1,52.951,1.87427
3,2,2,3,52.951,1.86746
3,2,2,5,63.6358,1.83442
3,2,2,7,63.5483,1.97449
3,2,3,1,34.5133,0
3,2,3,3,34.5133,0
3,2,3,5,60.5597,1.84249
3,2,3,7,61.412,1.87583
3,2,4,1,34.5133,0
3,2,4,3,34.5133,0
3,2,4,5,54.7955,1.77561
3,2,4,7,61.2115,1.86161
3,3,1,1,34.5133,0
3,3,1,3,34.5133,0
3,3,1,5,60.4107,1.869
3,3,1,7,61.4601,1.93991
3,3,2,1,34.5133,0
3,3,2,3,34.5133,0
3,3,2,5,62.3211,1.85855
3,3,2,7,59.845,1.87926
3,3,3,1,34.5133,0
3,3,3,3,34.5133,0
3,3,3,5,53.8386,1.88365
3,3,3,7,60.2633,1.8687
3,3,4,1,34.5133,0
3,3,4,3,34.5133,0
3,3,4,5,51.0503,1.79394
3,3,4,7,59.0957,1.88051
3,4,1,1,34.5133,0
3,4,1,3,34.5133,0
3,4,1,5,56.7099,1.79223
3,4,1,7,62.1171,1.87086
3,4,2,1,34.5133,0
3,4,2,3,34.5133,0
3,4,2,5,54.8622,1.77813
3,4,2,7,61.909,1.86808
3,4,3,1,34.5133,0
3,4,3,3,34.5133,0
3,4,3,5,49.7875,1.81468
3,4,3,7,56.9231,1.87989
3,4,4,1,34.5133,0
3,4,4,3,34.5133,0
3,4,4,5,48.2074,1.82996
3,4,4,7,57.9876,1.88585
4,1,1,1,60.6271,1.85094
4,1,1,3,60.6271,1.83919
4,1,1,5,59.3365,2.71374
4,1,1,7,49.5351,1.90204
4,1,2,1,61.1858,1.80166
4,1,2,3,61.1858,1.79707
4,1,2,5,59.4204,1.88742
4,1,2,7,57.7325,1.94258
4,1,3,1,34.5133,0
4,1,3,3,34.5133,0
4,1,3,5,62.8559,1.8461
4,1,3,7,60.5889,1.88648
4,1,4,1,34.5133,0
4,1,4,3,34.5133,0
4,1,4,5,53.6075,1.78769
4,1,4,7,59.8624,1.86438
4,2,1,1,58.0915,1.80338
4,2,1,3,58.0915,1.80771
4,2,1,5,61.5781,1.89566
4,2,1,7,58.9391,1.94928
4,2,2,1,49.8076,1.86407
4,2,2,3,49.8076,1.86161
4,2,2,5,62.7317,1.85916
4,2,2,7,61.3851,1.8721
4,2,3,1,34.5133,0
4,2,3,3,34.5133,0
4,2,3,5,61.1059,1.86192
4,2,3,7,61.5596,1.85367
4,2,4,1,34.5133,0
4,2,4,3,34.5133,0
4,2,4,5,50.8578,1.77172
4,2,4,7,58.3201,1.8721
4,3,1,1,34.5133,0
4,3,1,3,34.5133,0
4,3,1,5,62.0794,1.87739
4,3,1,7,58.3319,1.87801
4,3,2,1,34.5133,0
4,3,2,3,34.5133,0
4,3,2,5,57.1366,1.85611
4,3,2,7,61.6534,1.85216
4,3,3,1,34.5133,0
4,3,3,3,34.5133,0
4,3,3,5,50.8447,1.88679
4,3,3,7,58.9035,1.88459
4,3,4,1,34.5133,0
4,3,4,3,34.5133,0
4,3,4,5,49.9395,1.79736
4,3,4,7,54.339,1.88932
4,4,1,1,34.5133,0
4,4,1,3,34.5133,0
4,4,1,5,44.6634,1.80022
4,4,1,7,56.3504,1.86346
4,4,2,1,34.5133,0
4,4,2,3,34.5133,0
4,4,2,5,53.4016,1.78262
4,4,2,7,60.1546,1.85489
4,4,3,1,34.5133,0
4,4,3,3,34.5133,0
4,4,3,5,52.9841,1.80598
4,4,3,7,56.0161,1.88271
4,4,4,1,34.5133,0
4,4,4,3,34.5133,0
4,4,4,5,49.2973,1.84159
4,4,4,7,51.5366,1.8687
5,1,1,1,61.913,1.89026
5,1,1,3,61.913,1.88553
5,1,1,5,60.6158,2.57991
5,1,1,7,56.387,1.93892
5,1,2,1,60.3698,1.79936
5,1,2,3,60.3698,1.79593
5,1,2,5,60.6346,1.85489
5,1,2,7,59.73,1.92242
5,1,3,1,34.5133,0
5,1,3,3,34.5133,0
5,1,3,5,59.9985,1.85825
5,1,3,7,60.29,1.86008
5,1,4,1,34.5133,0
5,1,4,3,34.5133,0
5,1,4,5,52.8151,1.78882
5,1,4,7,58.8851,1.85672
5,2,1,1,60.4284,1.80223
5,2,1,3,60.4284,1.80022
5,2,1,5,61.7335,1.87926
5,2,1,7,61.7597,1.92767
5,2,2,1,49.0979,1.89058
5,2,2,3,49.0979,1.89502
5,2,2,5,61.7139,1.87055
5,2,2,7,58.474,1.85246
5,2,3,1,34.5133,0
5,2,3,3,34.5133,0
5,2,3,5,55.746,1.85307
5,2,3,7,61.6685,1.86069
5,2,4,1,34.5133,0
5,2,4,3,34.5133,0
5,2,4,5,52.6102,1.76673
5,2,4,7,52.9531,1.86715
5,3,1,1,34.5133,0
5,3,1,3,34.5133,0
5,3,1,5,60.5099,1.87303
5,3,1,7,61.2421,1.85733
5,3,2,1,34.5133,0
5,3,2,3,34.5133,0
5,3,2,5,53.4209,1.84973
5,3,2,7,60.8208,1.85642
5,3,3,1,34.5133,0
5,3,3,3,34.5133,0
5,3,3,5,52.0198,1.87117
5,3,3,7,56.8988,1.87024
5,3,4,1,34.5133,0
5,3,4,3,34.5133,0
5,3,4,5,48.6362,1.81032
5,3,4,7,51.054,1.87676
5,4,1,1,34.5133,0
5,4,1,3,34.5133,0
5,4,1,5,51.8733,1.80974
5,4,1,7,58.7581,1.86376
5,4,2,1,34.5133,0
5,4,2,3,34.5133,0
5,4,2,5,49.4857,1.77897
5,4,2,7,53.5148,1.86161
5,4,3,1,34.5133,0
5,4,3,3,34.5133,0
5,4,3,5,49.3588,1.81148
5,4,3,7,49.0139,1.86623
5,4,4,1,34.5133,0
5,4,4,3,34.5133,0
5,4,4,5,50.8577,1.84189
5,4,4,7,50.1266,1.86346
6,1,1,1,62.5587,1.91916
6,1,1,3,62.5587,1.90975
6,1,1,5,59.8188,2.786
6,1,1,7,59.0638,1.95299
6,1,2,1,56.5091,1.79422
6,1,2,3,56.5091,1.79508
6,1,2,5,61.3075,1.838
6,1,2,7,61.7648,1.90396
6,1,3,1,34.5133,0
6,1,3,3,34.5133,0
6,1,3,5,60.5454,1.86746
6,1,3,7,59.2162,1.85428
6,1,4,1,34.5133,0
6,1,4,3,34.5133,0
6,1,4,5,49.9172,1.80396
6,1,4,7,54.4556,1.86254
6,2,1,1,57.1047,1.80569
6,2,1,3,57.1047,1.79109
6,2,1,5,61.066,1.82435
6,2,1,7,58.722,1.91007
6,2,2,1,50.9567,1.9159
6,2,2,3,50.9567,1.91137
6,2,2,5,58.6879,1.8749
6,2,2,7,61.8477,1.8365
6,2,3,1,34.5133,0
6,2,3,3,34.5133,0
6,2,3,5,49.384,1.85185
6,2,3,7,58.1279,1.85672
