Blur,NOTUSED,NOTUSED,NOTUSED,NOTUSED,Score,FPS
1,1,1,1,0,60.6342,2.74006
2,1,1,1,0,60.6342,2.69048
3,1,1,1,0,60.6342,2.68217
4,1,1,1,0,60.6342,2.6809
5,1,1,1,0,60.6342,2.68409
6,1,1,1,0,60.6342,2.68027
7,1,1,1,0,60.6342,2.67836
8,1,1,1,0,60.6342,2.67773
9,1,1,1,0,60.6342,2.67456
10,1,1,1,0,60.6342,2.67836
11,1,1,1,0,60.6342,2.67709
12,1,1,1,0,60.6342,2.67519
13,1,1,1,0,60.6342,2.67329
14,1,1,1,0,60.6342,2.67266
15,1,1,1,0,60.6342,2.67709
16,1,1,1,0,60.6342,2.65945
17,1,1,1,0,60.6342,2.67266
18,1,1,1,0,60.6342,2.65945
19,1,1,1,0,60.6342,2.67519
20,1,1,1,0,60.6342,2.67392
21,1,1,1,0,60.6342,2.67203
22,1,1,1,0,60.6342,2.67329
23,1,1,1,0,60.6342,2.67139
24,1,1,1,0,60.6342,2.67329
25,1,1,1,0,60.6342,2.67836
