Threshold,Erode,Dilate,Score,FPS
1,1,1,34.5133,0
1,1,2,34.5133,0
1,1,3,34.5133,0
1,1,4,34.5133,0
1,1,5,34.5133,0
1,1,6,34.5133,0
1,1,7,34.5133,0
1,1,8,34.5133,0
1,1,9,34.5133,0
1,1,10,34.5133,0
1,2,1,34.5133,0
1,2,2,62.793,0.549451
1,2,3,34.5133,0
1,2,4,34.5133,0
1,2,5,34.5133,0
1,2,6,34.5133,0
1,2,7,34.5133,0
1,2,8,34.5133,0
1,2,9,34.5133,0
1,2,10,34.5133,0
1,3,1,34.5133,0
1,3,2,34.5133,0
1,3,3,34.5133,0
1,3,4,34.5133,0
1,3,5,34.5133,0
1,3,6,34.5133,0
1,3,7,34.5133,0
1,3,8,34.5133,0
1,3,9,34.5133,0
1,3,10,34.5133,0
1,4,1,84.014,0.521049
1,4,2,34.5133,0
1,4,3,34.5133,0
1,4,4,34.5133,0
1,4,5,34.5133,0
1,4,6,34.5133,0
1,4,7,34.5133,0
1,4,8,34.5133,0
1,4,9,34.5133,0
1,4,10,34.5133,0
1,5,1,87.5715,0.543478
1,5,2,51.3108,0.966142
1,5,3,34.5133,0
1,5,4,34.5133,0
1,5,5,34.5133,0
1,5,6,34.5133,0
1,5,7,34.5133,0
1,5,8,34.5133,0
1,5,9,34.5133,0
1,5,10,34.5133,0
1,6,1,73.1964,0.488797
1,6,2,34.5133,0
1,6,3,34.5133,0
1,6,4,34.5133,0
1,6,5,34.5133,0
1,6,6,34.5133,0
1,6,7,34.5133,0
1,6,8,34.5133,0
1,6,9,34.5133,0
1,6,10,34.5133,0
1,7,1,67.2405,0.487006
1,7,2,52.2022,0.710871
1,7,3,67.2285,0.671021
1,7,4,34.5133,0
1,7,5,34.5133,0
1,7,6,34.5133,0
1,7,7,34.5133,0
1,7,8,34.5133,0
1,7,9,34.5133,0
1,7,10,34.5133,0
1,8,1,65.4725,0.458753
1,8,2,69.0148,0.479057
1,8,3,64.5856,0.50591
1,8,4,34.5133,0
1,8,5,34.5133,0
1,8,6,34.5133,0
1,8,7,34.5133,0
1,8,8,34.5133,0
1,8,9,34.5133,0
1,8,10,34.5133,0
1,9,1,62.8128,0.445531
1,9,2,75.1953,0.490814
1,9,3,67.2403,0.508322
1,9,4,34.5133,0
1,9,5,34.5133,0
1,9,6,34.5133,0
1,9,7,34.5133,0
1,9,8,34.5133,0
1,9,9,34.5133,0
